,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,H_ELO,A_ELO
43,2018-09-26,Borussia Mönchengladbach,Eintracht Frankfurt,3,1,0,0,0,1,21,12,9.0,2.0,7,11,9,6,0,0,0,0,1.75,3.8,4.75,1.78,3.75,4.5,18/19,2534,2531
44,2018-09-26,RBLeipzig,VfB Stuttgart,2,0,0,1,0,0,18,9,8.0,0.0,11,8,4,2,2,3,0,0,1.72,3.8,4.75,1.72,3.7,5.0,18/19,2638,2333
45,2018-09-28,Hertha BSC,Bayern München,2,0,0,2,0,0,6,25,4.0,5.0,14,10,1,14,3,1,0,0,10.0,5.75,1.28,9.75,5.75,1.3,18/19,2390,2726
46,2018-09-29,TSG 1899 Hoffenheim,RBLeipzig,1,2,2,0,0,1,13,18,6.0,7.0,4,14,4,8,1,3,0,0,2.04,3.75,3.4,2.1,3.75,3.25,18/19,2525,2638
47,2018-09-29,Bayer Leverkusen,Borussia Dortmund,2,4,2,2,0,0,14,16,6.0,10.0,11,12,6,8,1,1,0,0,2.8,3.5,2.4,2.8,3.5,2.45,18/19,2555,2610
48,2018-09-29,1. FC Nürnberg,Fortuna Düsseldorf,3,0,0,1,0,0,10,13,6.0,4.0,10,9,4,4,0,2,0,0,2.14,3.4,3.4,2.05,3.4,3.7,18/19,2196,2380
49,2018-09-29,FC Schalke 04,1. FSV Mainz 05,1,0,0,1,0,0,15,15,2.0,5.0,22,21,4,5,2,2,0,0,1.64,3.75,5.5,1.65,3.8,5.5,18/19,2461,2349
50,2018-09-29,VfB Stuttgart,Werder Bremen,2,1,0,1,0,0,18,14,5.0,3.0,15,14,6,8,3,4,0,1,2.7,3.25,2.7,2.65,3.4,2.65,18/19,2333,2492
51,2018-09-29,VfL Wolfsburg,Borussia Mönchengladbach,2,2,1,1,1,1,13,10,3.0,3.0,6,14,6,3,2,2,0,0,2.3,3.4,3.1,2.35,3.4,3.0,18/19,2471,2534
52,2018-09-30,FC Augsburg,SC Freiburg,4,1,0,2,0,0,21,13,10.0,6.0,12,8,5,3,0,1,0,0,1.9,3.4,4.33,1.95,3.4,4.1,18/19,2335,2414
53,2018-09-30,Eintracht Frankfurt,Hannover 96,4,1,0,2,0,0,15,4,7.0,1.0,16,11,3,4,1,2,0,0,1.9,3.6,4.0,2.0,3.5,3.75,18/19,2531,2211
54,2018-10-05,Werder Bremen,VfL Wolfsburg,2,0,0,1,0,0,15,10,5.0,4.0,12,13,7,5,1,2,0,0,1.95,3.5,4.0,2.05,3.4,3.7,18/19,2492,2471
55,2018-10-06,Bayern München,Borussia Mönchengladbach,0,3,2,0,2,2,14,7,3.0,3.0,7,4,1,3,2,2,0,0,1.2,7.0,13.0,1.22,7.0,11.5,18/19,2726,2534
56,2018-10-06,Borussia Dortmund,FC Augsburg,4,3,0,0,1,2,20,12,8.0,6.0,5,29,9,6,1,7,0,0,1.44,4.75,7.0,1.48,4.6,6.5,18/19,2610,2335
57,2018-10-06,Fortuna Düsseldorf,FC Schalke 04,0,2,2,0,0,1,9,15,3.0,5.0,17,15,4,6,3,1,0,0,3.6,3.4,2.1,3.6,3.5,2.05,18/19,2380,2461
