,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,H_ELO,A_ELO,IDX,HTGD,ATGD,HP,AP,HTTP,ATTP,HGD,AGD
1146,2016-04-16,Bayern München,FC Schalke 04,3,0,0,1.18,7.5,15.0,1.18,7.0,12.5,2428,2361,1147,29,29,75,45,0,6,55,1
1147,2016-04-16,SV Darmstadt 98,FC Ingolstadt 04,2,0,0,2.55,3.2,2.88,2.5,3.1,2.85,2794,2435,1148,29,29,32,39,12,8,-12,-4
1148,2016-04-16,Bayer Leverkusen,Eintracht Frankfurt,3,0,0,1.36,5.25,8.0,1.36,5.0,7.5,2344,2361,1149,29,29,48,27,3,16,11,-17
1149,2016-04-16,Werder Bremen,VfL Wolfsburg,3,2,0,2.5,3.5,2.75,2.35,3.5,2.75,2545,2322,1150,29,29,28,39,15,7,-20,2
1150,2016-04-16,TSG 1899 Hoffenheim,Hertha BSC,2,1,0,2.38,3.4,3.0,2.45,3.25,2.85,2403,2480,1151,29,29,31,49,13,2,-11,5
1151,2016-04-17,Borussia Dortmund,Hamburger SV,3,0,0,1.33,5.25,9.0,1.28,5.75,8.75,2390,2428,1152,29,29,68,34,1,9,39,-5
1152,2016-04-17,1. FSV Mainz 05,1. FC Köln,2,3,2,2.1,3.4,3.6,2.0,3.4,3.6,2683,2360,1153,29,29,45,34,5,10,4,-8
1153,2016-04-22,Hamburger SV,Werder Bremen,2,1,0,2.6,3.5,2.63,2.6,3.55,2.6,2434,2407,1154,30,30,34,31,11,15,-8,-19
1154,2016-04-23,VfB Stuttgart,Borussia Dortmund,0,3,2,4.75,4.2,1.65,4.5,4.1,1.65,2364,2408,1155,30,30,33,71,14,1,-14,42
1155,2016-04-23,FC Schalke 04,Bayer Leverkusen,2,3,2,3.0,3.3,2.4,2.85,3.5,2.3,2344,2698,1156,30,30,45,51,6,2,-2,14
1156,2016-04-23,FC Ingolstadt 04,Hannover 96,2,2,1,1.91,3.4,4.33,1.83,3.5,4.25,2446,2551,1157,30,30,39,21,8,17,-6,-28
1157,2016-04-23,VfL Wolfsburg,FC Augsburg,0,2,2,1.8,3.75,4.33,1.75,3.7,4.4,2353,2257,1158,30,30,39,33,7,13,1,-10
1158,2016-04-23,1. FC Köln,SV Darmstadt 98,4,1,0,1.95,3.3,4.33,1.91,3.4,3.9,2473,2426,1159,30,30,37,35,9,10,-7,-10
1159,2016-04-23,Hertha BSC,Bayern München,0,2,2,9.0,4.5,1.4,7.0,4.4,1.42,2409,2331,1160,30,30,49,78,3,0,4,58
1160,2016-04-24,Eintracht Frankfurt,1. FSV Mainz 05,2,1,0,2.88,3.3,2.5,2.7,3.25,2.55,2418,2787,1161,30,30,27,45,16,5,-20,3
1161,2016-04-24,Borussia Mönchengladbach,TSG 1899 Hoffenheim,3,1,0,1.62,4.2,5.25,1.62,3.9,5.0,2335,2430,1162,30,30,45,34,4,12,12,-10
1162,2016-04-29,FC Augsburg,1. FC Köln,0,0,1,2.45,3.25,3.0,2.4,3.4,2.95,2510,2398,1163,31,31,36,40,11,7,-8,-4
1163,2016-04-30,Bayern München,Borussia Mönchengladbach,1,1,1,1.4,5.0,7.5,1.44,5.25,6.0,2428,2407,1164,31,31,81,48,0,4,60,14
1164,2016-04-30,SV Darmstadt 98,Eintracht Frankfurt,1,2,2,2.5,3.2,3.0,2.5,3.3,2.9,2786,2521,1165,31,31,35,30,12,16,-13,-19
1165,2016-04-30,Borussia Dortmund,VfL Wolfsburg,5,1,0,1.36,5.0,8.5,1.35,5.5,7.75,2346,2354,1166,31,31,74,39,1,9,45,-1
1166,2016-04-30,Hannover 96,FC Schalke 04,1,3,2,3.8,4.0,1.85,4.0,3.9,1.83,2679,2482,1167,31,31,22,45,17,6,-28,-3
1167,2016-04-30,1. FSV Mainz 05,Hamburger SV,0,0,1,1.8,3.75,4.33,1.75,3.9,4.5,2271,2444,1168,31,31,45,37,5,10,2,-7
1168,2016-04-30,TSG 1899 Hoffenheim,FC Ingolstadt 04,2,1,0,1.8,3.6,4.6,1.8,3.6,4.6,2445,2355,1169,31,31,34,40,13,8,-12,-6
1169,2016-04-30,Bayer Leverkusen,Hertha BSC,2,1,0,1.62,3.75,6.0,1.62,4.0,5.5,2384,2351,1170,31,31,54,49,2,3,15,2
1170,2016-05-02,Werder Bremen,VfB Stuttgart,6,2,0,2.05,3.6,3.5,2.1,3.8,3.25,2540,2403,1171,31,31,31,33,15,14,-20,-17
1171,2016-05-07,Eintracht Frankfurt,Borussia Dortmund,1,0,0,7.0,4.75,1.45,7.0,4.75,1.4,2410,2330,1172,32,32,33,77,15,1,-18,49
1172,2016-05-07,Hannover 96,TSG 1899 Hoffenheim,1,0,0,3.4,3.75,2.05,3.4,3.6,2.0,2346,2671,1173,32,32,22,37,17,12,-30,-11
1173,2016-05-07,Hertha BSC,SV Darmstadt 98,1,2,2,1.75,3.6,5.0,1.7,3.75,4.6,2270,2366,1174,32,32,49,35,4,13,1,-14
1174,2016-05-07,FC Ingolstadt 04,Bayern München,1,2,2,15.0,7.0,1.18,10.0,6.5,1.22,2406,2336,1175,32,32,40,82,8,0,-7,60
1175,2016-05-07,Borussia Mönchengladbach,Bayer Leverkusen,2,1,0,1.91,3.8,3.8,1.9,3.7,3.7,2346,2790,1176,32,32,49,57,3,2,14,16
1176,2016-05-07,FC Schalke 04,FC Augsburg,1,1,1,1.7,4.2,4.5,1.7,3.9,4.5,2531,2545,1177,32,32,48,37,5,11,-1,-8
1177,2016-05-07,VfB Stuttgart,1. FSV Mainz 05,1,3,2,2.1,3.8,3.2,2.05,3.6,3.25,2463,2407,1178,32,32,33,46,16,6,-21,2
1178,2016-05-07,1. FC Köln,Werder Bremen,0,0,1,2.8,3.75,2.38,2.75,3.75,2.25,2323,2442,1179,32,32,41,34,7,14,-4,-16
1179,2016-05-07,Hamburger SV,VfL Wolfsburg,0,1,2,2.7,3.4,2.63,2.6,3.2,2.7,2415,2418,1180,32,32,38,39,10,9,-7,-5
1180,2016-05-14,TSG 1899 Hoffenheim,FC Schalke 04,1,4,2,3.2,3.8,2.05,2.9,3.9,2.15,2376,2489,1181,33,33,37,49,13,6,-12,-1
1181,2016-05-14,VfL Wolfsburg,VfB Stuttgart,3,1,0,2.3,4.0,2.75,2.35,3.8,2.6,2366,2463,1182,33,33,42,33,7,16,-4,-23
1182,2016-05-14,Werder Bremen,Eintracht Frankfurt,1,0,0,2.0,3.75,3.5,2.0,3.7,3.3,2492,2330,1183,33,33,35,36,15,14,-16,-17
1183,2016-05-14,1. FSV Mainz 05,Hertha BSC,0,0,1,2.05,3.6,3.5,2.05,3.6,3.25,2399,2352,1184,33,33,49,49,4,5,4,0
1184,2016-05-14,Bayer Leverkusen,FC Ingolstadt 04,3,2,0,1.5,4.33,6.5,1.5,4.33,5.75,2445,2410,1185,33,33,57,40,2,9,15,-8
1185,2016-05-14,FC Augsburg,Hamburger SV,1,3,2,2.0,3.5,3.8,2.0,3.5,3.5,2545,2355,1186,33,33,38,38,10,11,-8,-8
1186,2016-05-14,Borussia Dortmund,1. FC Köln,2,2,1,1.29,5.75,8.0,1.3,5.5,8.5,2407,2379,1187,33,33,77,42,1,8,48,-4
1187,2016-05-14,SV Darmstadt 98,Borussia Mönchengladbach,0,2,2,3.5,3.75,2.0,3.7,3.5,1.95,2665,2416,1188,33,33,38,52,12,3,-13,15
1188,2016-05-14,Bayern München,Hannover 96,3,1,0,1.08,11.0,26.0,1.09,11.0,16.0,2336,2531,1189,33,33,85,25,0,17,61,-29
1189,2016-08-26,Bayern München,Werder Bremen,6,0,0,1.1,10.0,23.0,1.1,9.75,18.5,2796,2294,1190,0,0,0,0,1,1,0,0
1190,2016-08-27,FC Augsburg,VfL Wolfsburg,0,2,2,2.8,3.25,2.6,2.8,3.4,2.4,2805,2383,1191,0,0,0,0,1,1,0,0
