,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,Season
83,2018-10-20,3,8,0.0,1.0,2.0,1.0,2.0,13.0,11.0,1.0,2.0,9.0,6.0,2.0,4.0,0.0,2.0,0.0,0.0,11.0,5.5,1.33,11.0,18/19
84,2018-10-20,18,17,5.0,0.0,0.0,0.0,0.0,24.0,5.0,10.0,0.0,11.0,5.0,10.0,1.0,2.0,2.0,0.0,0.0,1.08,13.0,34.0,1.07,18/19
85,2018-10-20,4,16,0.0,1.0,2.0,1.0,2.0,27.0,8.0,6.0,2.0,13.0,17.0,10.0,2.0,0.0,2.0,0.0,0.0,2.2,3.25,3.8,2.2,18/19
86,2018-10-20,15,14,0.0,1.0,2.0,1.0,2.0,13.0,10.0,4.0,2.0,8.0,10.0,10.0,6.0,3.0,0.0,0.0,0.0,4.1,3.9,1.9,4.2,18/19
87,2018-10-20,6,5,0.0,2.0,2.0,2.0,2.0,10.0,9.0,1.0,3.0,23.0,13.0,8.0,2.0,3.0,1.0,0.0,0.0,1.75,3.75,5.25,1.72,18/19
88,2018-10-21,12,19,2.0,0.0,0.0,0.0,1.0,20.0,7.0,4.0,3.0,13.0,17.0,10.0,5.0,2.0,1.0,0.0,0.0,1.85,3.6,4.75,1.85,18/19
89,2018-10-22,7,13,3.0,1.0,0.0,1.0,1.0,19.0,8.0,6.0,2.0,10.0,10.0,6.0,4.0,2.0,2.0,0.0,0.0,1.53,4.5,6.5,1.5,18/19
90,2018-10-27,16,6,1.0,0.0,0.0,0.0,1.0,2.0,25.0,1.0,7.0,11.0,8.0,1.0,10.0,3.0,0.0,0.0,0.0,3.2,3.2,2.5,3.1,18/19
91,2018-10-27,2,1,0.0,3.0,2.0,1.0,2.0,11.0,12.0,1.0,5.0,16.0,3.0,5.0,5.0,2.0,1.0,1.0,0.0,2.9,3.75,2.4,2.7,18/19
92,2018-10-27,13,15,1.0,1.0,1.0,1.0,2.0,21.0,11.0,7.0,3.0,17.0,5.0,8.0,0.0,1.0,1.0,0.0,1.0,2.1,3.5,3.8,2.1,18/19
93,2018-10-27,8,10,4.0,1.0,0.0,0.0,0.0,19.0,2.0,7.0,1.0,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.11,11.0,26.0,1.1,18/19
94,2018-10-27,9,4,0.0,0.0,1.0,0.0,1.0,22.0,6.0,4.0,0.0,9.0,12.0,7.0,2.0,0.0,1.0,0.0,0.0,2.1,3.4,3.9,2.1,18/19
95,2018-10-27,5,3,3.0,0.0,0.0,0.0,0.0,12.0,13.0,6.0,7.0,9.0,13.0,3.0,3.0,1.0,2.0,0.0,0.0,1.75,3.75,5.25,1.72,18/19
96,2018-10-28,17,11,0.0,4.0,2.0,1.0,2.0,7.0,24.0,1.0,8.0,14.0,10.0,4.0,4.0,4.0,2.0,0.0,0.0,11.0,5.0,1.36,11.0,18/19
97,2018-10-28,19,7,2.0,2.0,1.0,0.0,0.0,16.0,7.0,3.0,2.0,10.0,16.0,6.0,4.0,1.0,2.0,0.0,0.0,4.75,4.1,1.75,4.33,18/19
98,2018-10-28,0,12,2.0,1.0,0.0,0.0,0.0,14.0,14.0,10.0,6.0,15.0,12.0,8.0,4.0,2.0,1.0,0.0,0.0,1.72,3.9,5.25,1.67,18/19
99,2018-10-29,14,18,0.0,1.0,2.0,1.0,2.0,4.0,13.0,1.0,6.0,13.0,13.0,3.0,6.0,2.0,2.0,0.0,0.0,4.75,4.1,1.75,4.33,18/19
100,2018-11-03,7,8,1.0,1.0,1.0,0.0,1.0,12.0,13.0,4.0,4.0,7.0,7.0,5.0,8.0,1.0,1.0,0.0,0.0,3.9,3.9,1.95,3.5,18/19
101,2018-11-03,1,0,1.0,2.0,2.0,1.0,1.0,18.0,18.0,7.0,8.0,12.0,12.0,9.0,5.0,4.0,3.0,0.0,0.0,3.6,3.7,2.1,3.6,18/19
102,2018-11-03,10,13,0.0,1.0,2.0,0.0,1.0,11.0,13.0,2.0,5.0,13.0,12.0,6.0,12.0,2.0,2.0,0.0,0.0,3.8,3.4,2.14,3.6,18/19
103,2018-11-03,12,16,3.0,1.0,0.0,1.0,1.0,14.0,5.0,3.0,3.0,9.0,17.0,6.0,4.0,0.0,1.0,0.0,0.0,1.61,4.0,6.5,1.57,18/19
104,2018-11-03,4,5,1.0,0.0,0.0,0.0,1.0,10.0,16.0,2.0,1.0,12.0,11.0,8.0,9.0,1.0,5.0,0.0,0.0,2.75,3.25,2.8,2.65,18/19
105,2018-11-03,15,17,4.0,2.0,0.0,1.0,1.0,22.0,6.0,10.0,3.0,7.0,9.0,10.0,4.0,1.0,4.0,0.0,0.0,1.75,3.75,5.25,1.75,18/19
106,2018-11-03,6,14,2.0,3.0,2.0,2.0,2.0,16.0,10.0,7.0,8.0,11.0,8.0,5.0,1.0,1.0,2.0,0.0,0.0,3.1,3.4,2.45,3.0,18/19
107,2018-11-04,11,19,3.0,1.0,0.0,0.0,0.0,15.0,7.0,6.0,2.0,6.0,13.0,4.0,2.0,0.0,1.0,0.0,0.0,1.25,6.75,13.0,1.26,18/19
108,2018-11-04,18,9,6.0,1.0,0.0,1.0,0.0,18.0,12.0,8.0,6.0,14.0,9.0,4.0,4.0,1.0,1.0,0.0,0.0,1.11,11.0,29.0,1.11,18/19
109,2018-11-05,3,2,1.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,11.0,8.0,5.0,4.0,1.0,2.0,0.0,0.0,2.3,3.5,3.3,2.25,18/19
110,2018-11-10,10,16,2.0,1.0,0.0,1.0,1.0,20.0,7.0,6.0,3.0,7.0,21.0,4.0,1.0,2.0,1.0,0.0,1.0,2.6,3.1,3.1,2.5,18/19
111,2018-11-10,19,14,0.0,1.0,2.0,0.0,1.0,11.0,11.0,4.0,2.0,12.0,9.0,10.0,6.0,1.0,1.0,0.0,0.0,4.5,3.75,1.85,4.5,18/19
112,2018-11-10,3,15,1.0,1.0,1.0,0.0,0.0,15.0,12.0,7.0,5.0,9.0,8.0,5.0,6.0,1.0,1.0,0.0,0.0,3.4,3.25,2.35,3.4,18/19
113,2018-11-10,13,17,0.0,0.0,1.0,0.0,1.0,22.0,6.0,5.0,1.0,13.0,10.0,12.0,1.0,2.0,0.0,0.0,0.0,1.5,4.33,8.0,1.48,18/19
114,2018-11-10,4,1,2.0,1.0,0.0,1.0,0.0,18.0,14.0,6.0,4.0,9.0,11.0,7.0,10.0,2.0,1.0,0.0,0.0,2.9,3.4,2.6,2.75,18/19
115,2018-11-10,9,5,1.0,1.0,1.0,0.0,0.0,14.0,12.0,4.0,6.0,13.0,13.0,7.0,6.0,3.0,2.0,0.0,0.0,2.5,3.3,3.1,2.4,18/19
116,2018-11-11,7,6,1.0,1.0,1.0,1.0,2.0,10.0,12.0,3.0,5.0,9.0,16.0,11.0,2.0,2.0,2.0,0.0,0.0,1.66,4.2,5.25,1.6,18/19
117,2018-11-11,11,12,0.0,0.0,1.0,0.0,1.0,15.0,6.0,4.0,1.0,7.0,11.0,5.0,5.0,4.0,3.0,0.0,0.0,1.4,5.25,8.5,1.4,18/19
118,2018-11-11,8,2,2.0,0.0,0.0,0.0,0.0,20.0,8.0,7.0,3.0,11.0,9.0,6.0,3.0,1.0,1.0,0.0,0.0,1.11,11.0,26.0,1.11,18/19
119,2018-11-11,18,0,3.0,1.0,0.0,0.0,0.0,17.0,6.0,5.0,1.0,12.0,12.0,5.0,1.0,1.0,1.0,0.0,0.0,1.4,5.25,8.5,1.4,18/19
120,2018-11-24,16,13,1.0,1.0,1.0,0.0,0.0,14.0,8.0,3.0,3.0,10.0,7.0,6.0,1.0,3.0,1.0,0.0,1.0,2.9,3.4,2.6,2.85,18/19
121,2018-11-24,12,10,1.0,0.0,0.0,0.0,1.0,16.0,7.0,8.0,1.0,12.0,13.0,7.0,3.0,0.0,3.0,0.0,0.0,1.4,5.0,9.0,1.4,18/19
122,2018-11-24,2,9,3.0,2.0,0.0,1.0,0.0,10.0,19.0,5.0,8.0,10.0,6.0,2.0,5.0,2.0,3.0,0.0,0.0,2.62,3.5,2.8,2.55,18/19
