,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
557,Bayer Leverkusen,Borussia Dortmund,3.0,3.5,2.25,1
558,Bayern München,Werder Bremen,1.2,7.0,11.0,0
559,TSG 1899 Hoffenheim,Eintracht Frankfurt,1.91,3.75,3.6,1
560,FC Augsburg,Hamburger SV,1.85,3.6,4.0,0
561,FC Schalke 04,Borussia Mönchengladbach,2.0,3.6,3.5,2
562,Borussia Dortmund,TSG 1899 Hoffenheim,1.36,5.5,7.0,0
563,Eintracht Frankfurt,Bayer Leverkusen,4.2,4.0,1.75,2
564,SC Freiburg,FC Schalke 04,3.6,3.6,1.95,2
565,Hamburger SV,Bayern München,7.0,5.25,1.36,2
566,Borussia Mönchengladbach,1. FSV Mainz 05,1.85,3.8,3.8,0
567,1. FC Nürnberg,Hannover 96,2.1,3.6,3.25,2
568,VfB Stuttgart,VfL Wolfsburg,2.7,3.6,2.4,2
569,Werder Bremen,Hertha BSC,2.63,3.5,2.5,0
570,FC Schalke 04,1. FC Nürnberg,1.29,5.5,9.5,0
571,VfL Wolfsburg,Borussia Mönchengladbach,1.83,4.0,3.75,0
572,FC Augsburg,Eintracht Frankfurt,1.53,4.33,5.5,0
573,Bayern München,VfB Stuttgart,1.2,7.0,11.0,0
574,Hannover 96,SC Freiburg,2.0,3.6,3.5,0
575,Hertha BSC,Borussia Dortmund,5.25,4.5,1.53,2
576,1. FSV Mainz 05,Hamburger SV,1.83,4.0,3.75,0
577,Bayer Leverkusen,Werder Bremen,1.25,6.5,9.0,0
578,TSG 1899 Hoffenheim,FC Augsburg,1.91,3.6,3.8,0
579,Hertha BSC,Werder Bremen,1.95,3.5,3.75,1
580,Hannover 96,FC Schalke 04,2.9,3.5,2.3,0
581,1. FC Köln,Hamburger SV,2.0,3.5,3.6,1
582,Eintracht Frankfurt,SC Freiburg,2.05,3.4,3.6,0
583,Borussia Dortmund,Bayer Leverkusen,1.57,4.33,5.0,2
584,Borussia Mönchengladbach,VfB Stuttgart,1.95,3.5,3.75,1
585,SC Paderborn 07,1. FSV Mainz 05,3.1,3.4,2.25,1
586,FC Augsburg,Borussia Dortmund,4.5,3.75,1.73,2
587,VfL Wolfsburg,Eintracht Frankfurt,1.57,4.33,5.0,1
588,Werder Bremen,TSG 1899 Hoffenheim,3.2,3.5,2.15,1
589,VfB Stuttgart,1. FC Köln,2.0,3.5,3.6,2
590,Hamburger SV,SC Paderborn 07,1.67,3.8,5.0,2
591,Bayer Leverkusen,Hertha BSC,1.44,4.5,6.5,0
592,FC Schalke 04,Bayern München,6.0,4.75,1.44,1
593,SC Freiburg,Borussia Mönchengladbach,2.88,3.4,2.38,1
594,1. FSV Mainz 05,Hannover 96,2.2,3.3,3.3,1
595,Bayer Leverkusen,Werder Bremen,1.3,5.5,9.0,1
596,Bayern München,VfB Stuttgart,1.17,7.5,15.0,0
597,Borussia Dortmund,SC Freiburg,1.25,6.0,10.0,0
598,Hertha BSC,1. FSV Mainz 05,2.25,3.3,3.2,2
599,TSG 1899 Hoffenheim,VfL Wolfsburg,2.4,3.5,2.75,1
600,Borussia Mönchengladbach,FC Schalke 04,2.4,3.4,2.8,0
601,SC Paderborn 07,1. FC Köln,2.9,3.2,2.45,1
602,Eintracht Frankfurt,FC Augsburg,2.25,3.3,3.2,2
603,Hannover 96,Hamburger SV,2.2,3.4,3.2,0
604,SC Freiburg,Hertha BSC,2.5,3.3,2.8,1
605,FC Augsburg,Werder Bremen,1.91,3.6,3.8,0
606,Hamburger SV,Bayern München,10.0,6.0,1.25,1
607,1. FSV Mainz 05,Borussia Dortmund,5.0,4.33,1.57,0
608,SC Paderborn 07,Hannover 96,2.8,3.25,2.5,0
609,FC Schalke 04,Eintracht Frankfurt,1.73,3.8,4.5,1
610,VfB Stuttgart,TSG 1899 Hoffenheim,2.5,3.4,2.7,2
611,1. FC Köln,Borussia Mönchengladbach,2.75,3.3,2.5,1
612,VfL Wolfsburg,Bayer Leverkusen,2.8,3.5,2.4,0
613,Bayern München,SC Paderborn 07,1.11,9.0,21.0,0
614,Eintracht Frankfurt,1. FSV Mainz 05,2.38,3.3,2.9,1
