,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
1516,Borussia Mönchengladbach,Eintracht Frankfurt,1.83,3.6,4.5,2
1517,VfL Wolfsburg,Hannover 96,1.83,3.6,4.5,1
1518,FC Augsburg,1. FC Köln,2.38,3.3,3.1,0
1519,SC Freiburg,Borussia Dortmund,7.5,5.0,1.4,1
1520,Hertha BSC,Werder Bremen,1.91,3.6,4.0,1
1521,FC Schalke 04,VfB Stuttgart,1.7,3.75,5.0,0
1522,Hannover 96,Hamburger SV,1.95,3.5,4.0,0
1523,Werder Bremen,FC Schalke 04,2.8,3.5,2.5,2
1524,Eintracht Frankfurt,FC Augsburg,1.85,3.5,4.5,2
1525,RB Leipzig,Borussia Mönchengladbach,1.67,3.8,5.5,1
1526,Bayern München,1. FSV Mainz 05,1.13,10.0,19.0,0
1527,VfB Stuttgart,VfL Wolfsburg,2.3,3.5,3.0,0
1528,Borussia Dortmund,1. FC Köln,1.22,6.0,13.0,0
1529,TSG 1899 Hoffenheim,Hertha BSC,1.67,3.8,5.5,1
1530,Bayer Leverkusen,SC Freiburg,1.45,4.5,7.0,0
1531,VfL Wolfsburg,Werder Bremen,2.05,3.5,3.6,1
1532,FC Augsburg,RB Leipzig,3.5,3.5,2.1,0
1533,FC Schalke 04,Bayern München,7.0,4.75,1.44,2
1534,Borussia Mönchengladbach,VfB Stuttgart,1.7,3.8,5.0,0
1535,1. FSV Mainz 05,TSG 1899 Hoffenheim,2.7,3.4,2.6,2
1536,1. FC Köln,Eintracht Frankfurt,2.88,3.1,2.63,2
1537,Hamburger SV,Borussia Dortmund,7.0,4.75,1.44,2
1538,SC Freiburg,Hannover 96,2.8,3.25,2.6,1
1539,Hertha BSC,Bayer Leverkusen,3.3,3.4,2.2,0
1540,Bayern München,VfL Wolfsburg,1.14,8.5,19.0,1
1541,Borussia Dortmund,Borussia Mönchengladbach,1.44,4.75,7.0,0
1542,TSG 1899 Hoffenheim,FC Schalke 04,2.2,3.5,3.25,0
1543,RB Leipzig,Eintracht Frankfurt,1.7,3.8,5.0,0
1544,VfB Stuttgart,FC Augsburg,2.1,3.4,3.6,1
1545,Werder Bremen,SC Freiburg,1.7,4.0,4.75,1
1546,1. FSV Mainz 05,Hertha BSC,2.2,3.3,3.4,0
1547,Hannover 96,1. FC Köln,1.95,3.6,3.8,1
1548,Bayer Leverkusen,Hamburger SV,1.36,5.0,8.5,0
1549,FC Schalke 04,Bayer Leverkusen,2.3,3.4,3.1,1
1550,VfL Wolfsburg,1. FSV Mainz 05,2.1,3.4,3.6,1
1551,Hamburger SV,Werder Bremen,2.7,3.2,2.75,1
1552,Eintracht Frankfurt,VfB Stuttgart,1.95,3.5,4.0,0
1553,FC Augsburg,Borussia Dortmund,7.5,4.5,1.44,2
1554,Borussia Mönchengladbach,Hannover 96,1.73,3.6,5.25,0
1555,1. FC Köln,RB Leipzig,3.8,3.5,2.0,2
1556,SC Freiburg,TSG 1899 Hoffenheim,3.6,3.5,2.05,0
1557,Hertha BSC,Bayern München,8.5,5.0,1.36,1
1558,VfB Stuttgart,1. FC Köln,1.83,3.6,4.33,0
1559,1. FSV Mainz 05,Hamburger SV,1.7,3.75,5.25,0
1560,TSG 1899 Hoffenheim,FC Augsburg,1.8,3.75,4.5,1
1561,Hertha BSC,FC Schalke 04,2.5,3.3,2.9,2
1562,Borussia Dortmund,RB Leipzig,1.5,4.5,6.5,2
1563,Bayern München,SC Freiburg,1.08,13.0,21.0,0
1564,Hannover 96,Eintracht Frankfurt,2.38,3.2,3.1,2
1565,Bayer Leverkusen,VfL Wolfsburg,1.53,4.33,6.0,1
1566,Werder Bremen,Borussia Mönchengladbach,2.63,3.5,2.6,2
1567,FC Schalke 04,1. FSV Mainz 05,1.8,3.7,4.5,0
1568,RB Leipzig,VfB Stuttgart,1.53,4.0,7.0,0
1569,Borussia Mönchengladbach,Bayer Leverkusen,2.45,3.39,2.87,2
1570,Hamburger SV,Bayern München,19.0,7.0,1.16,2
1571,FC Augsburg,Hannover 96,2.04,3.5,3.6,2
1572,Eintracht Frankfurt,Borussia Dortmund,5.0,3.75,1.72,1
1573,VfL Wolfsburg,TSG 1899 Hoffenheim,2.5,3.39,2.79,1
1574,SC Freiburg,Hertha BSC,2.54,3.29,2.79,1
1575,1. FC Köln,Werder Bremen,2.39,3.29,3.0,1
1576,1. FSV Mainz 05,Eintracht Frankfurt,2.79,3.2,2.54,1
1577,Bayern München,RB Leipzig,1.33,5.5,8.5,0
1578,Hannover 96,Borussia Dortmund,5.5,4.2,1.57,0
1579,Hertha BSC,Hamburger SV,1.9,3.39,4.33,0
1580,TSG 1899 Hoffenheim,Borussia Mönchengladbach,2.04,3.6,3.5,2
1581,Bayer Leverkusen,1. FC Köln,1.33,5.25,9.0,0
1582,FC Schalke 04,VfL Wolfsburg,1.75,3.6,5.0,1
1583,VfB Stuttgart,SC Freiburg,1.83,3.5,4.5,0
1584,Werder Bremen,FC Augsburg,2.29,3.29,3.2,2
1585,Eintracht Frankfurt,Werder Bremen,1.75,3.75,4.75,0
1586,Borussia Mönchengladbach,1. FSV Mainz 05,1.61,4.0,5.5,1
1587,RB Leipzig,Hannover 96,1.44,4.5,7.5,0
1588,SC Freiburg,FC Schalke 04,3.79,3.29,2.04,2
1589,Borussia Dortmund,Bayern München,3.29,3.79,2.04,2
1590,Hamburger SV,VfB Stuttgart,2.45,3.39,2.87,0
1591,FC Augsburg,Bayer Leverkusen,3.5,3.6,2.04,1
1592,VfL Wolfsburg,Hertha BSC,2.0,3.39,4.0,1
1593,1. FC Köln,TSG 1899 Hoffenheim,2.87,3.39,2.45,2
1594,VfB Stuttgart,Borussia Dortmund,4.2,3.89,1.8,0
1595,Bayern München,FC Augsburg,1.16,8.0,15.0,0
1596,1. FSV Mainz 05,1. FC Köln,2.04,3.39,3.79,0
1597,VfL Wolfsburg,SC Freiburg,1.61,3.75,6.0,0
1598,TSG 1899 Hoffenheim,Eintracht Frankfurt,2.2,3.39,3.39,1
1599,Hertha BSC,Borussia Mönchengladbach,2.89,3.25,2.5,2
1600,Bayer Leverkusen,RB Leipzig,2.29,3.5,3.0,1
1601,FC Schalke 04,Hamburger SV,1.57,3.79,6.5,0
1602,Werder Bremen,Hannover 96,2.2,3.39,3.29,0
1603,Hannover 96,VfB Stuttgart,2.29,3.39,3.1,1
1604,FC Augsburg,VfL Wolfsburg,2.37,3.29,3.1,0
1605,Borussia Dortmund,FC Schalke 04,1.72,4.2,4.33,1
1606,Eintracht Frankfurt,Bayer Leverkusen,2.62,3.5,2.62,2
1607,SC Freiburg,1. FSV Mainz 05,2.75,3.29,2.6,0
1608,Borussia Mönchengladbach,Bayern München,5.75,4.75,1.5,0
1609,RB Leipzig,Werder Bremen,1.5,4.33,6.5,0
1610,1. FC Köln,Hertha BSC,2.5,3.2,3.0,2
1611,Hamburger SV,TSG 1899 Hoffenheim,2.79,3.39,2.5,0
1612,SC Freiburg,Hamburger SV,2.5,3.25,2.89,1
1613,Bayern München,Hannover 96,1.14,9.0,17.0,0
1614,TSG 1899 Hoffenheim,RB Leipzig,3.29,3.6,2.1,0
1615,Bayer Leverkusen,Borussia Dortmund,2.25,3.6,3.0,1
1616,1. FSV Mainz 05,FC Augsburg,2.6,3.25,2.79,2
1617,FC Schalke 04,1. FC Köln,1.44,4.33,8.0,1
1618,Werder Bremen,VfB Stuttgart,2.29,3.39,3.1,0
1619,Hertha BSC,Eintracht Frankfurt,2.7,3.25,2.7,2
1620,VfL Wolfsburg,Borussia Mönchengladbach,2.62,3.39,2.62,0
1621,VfB Stuttgart,Bayer Leverkusen,3.2,3.5,2.25,2
1622,RB Leipzig,1. FSV Mainz 05,1.39,4.75,8.0,1
1623,Borussia Dortmund,Werder Bremen,1.39,5.25,7.0,2
1624,Hamburger SV,VfL Wolfsburg,2.5,3.29,2.87,1
1625,Eintracht Frankfurt,Bayern München,7.0,4.75,1.44,2
1626,Borussia Mönchengladbach,FC Schalke 04,2.25,3.39,3.2,1
1627,FC Augsburg,Hertha BSC,1.95,3.29,4.0,1
1628,1. FC Köln,SC Freiburg,2.25,3.25,3.2,2
1629,Hannover 96,TSG 1899 Hoffenheim,2.7,3.39,2.5,0
1630,VfL Wolfsburg,RB Leipzig,3.0,3.6,2.29,1
1631,Hamburger SV,Eintracht Frankfurt,2.6,3.2,2.79,2
1632,SC Freiburg,Borussia Mönchengladbach,3.39,3.39,2.14,0
1633,1. FSV Mainz 05,Borussia Dortmund,5.0,4.0,1.61,2
1634,Bayern München,1. FC Köln,1.08,12.0,26.0,0
1635,Hertha BSC,Hannover 96,2.0,3.29,4.0,0
1636,TSG 1899 Hoffenheim,VfB Stuttgart,1.9,3.6,4.0,0
1637,Bayer Leverkusen,Werder Bremen,1.44,4.75,7.0,0
1638,FC Schalke 04,FC Augsburg,1.83,3.6,4.5,0
1639,Borussia Mönchengladbach,Hamburger SV,1.8,3.6,4.5,0
1640,FC Augsburg,SC Freiburg,1.75,3.6,5.0,1
1641,Borussia Dortmund,TSG 1899 Hoffenheim,1.5,4.33,6.5,0
1642,Eintracht Frankfurt,FC Schalke 04,2.5,3.1,3.1,1
1643,1. FC Köln,VfL Wolfsburg,3.6,3.5,2.04,0
1644,VfB Stuttgart,Bayern München,10.0,5.0,1.33,2
1645,Werder Bremen,1. FSV Mainz 05,1.95,3.5,4.0,1
1646,RB Leipzig,Hertha BSC,1.57,3.79,6.0,2
1647,Hannover 96,Bayer Leverkusen,4.33,3.79,1.8,1
1648,Bayer Leverkusen,Bayern München,4.2,3.79,1.83,2
1649,Eintracht Frankfurt,SC Freiburg,1.85,3.5,4.5,1
1650,FC Augsburg,Hamburger SV,1.95,3.39,4.2,0
1651,VfB Stuttgart,Hertha BSC,2.14,3.29,3.6,0
1652,Werder Bremen,TSG 1899 Hoffenheim,2.6,3.39,2.75,1
1653,RB Leipzig,FC Schalke 04,2.1,3.39,3.6,0
1654,Hannover 96,1. FSV Mainz 05,2.2,3.39,3.29,0
1655,Borussia Dortmund,VfL Wolfsburg,1.39,5.0,7.5,1
1656,1. FC Köln,Borussia Mönchengladbach,3.29,3.5,2.14,0
1657,Hertha BSC,Borussia Dortmund,3.29,3.39,2.2,1
1658,VfL Wolfsburg,Eintracht Frankfurt,2.2,3.2,3.6,2
1659,Borussia Mönchengladbach,FC Augsburg,2.1,3.6,3.39,0
1660,SC Freiburg,RB Leipzig,3.5,3.5,2.1,0
1661,TSG 1899 Hoffenheim,Bayer Leverkusen,2.87,3.6,2.37,2
1662,Hamburger SV,1. FC Köln,2.2,3.29,3.39,2
1663,1. FSV Mainz 05,VfB Stuttgart,2.6,3.2,2.87,0
1664,Bayern München,Werder Bremen,1.12,10.0,17.0,0
1665,FC Schalke 04,Hannover 96,1.57,3.79,6.5,1
1666,Eintracht Frankfurt,Borussia Mönchengladbach,2.45,3.39,2.89,0
1667,Bayern München,TSG 1899 Hoffenheim,1.19,7.0,13.0,0
1668,Borussia Dortmund,SC Freiburg,1.39,5.0,7.5,1
1669,1. FC Köln,FC Augsburg,2.79,3.25,2.6,1
1670,RB Leipzig,Hamburger SV,1.5,4.2,7.0,1
1671,VfB Stuttgart,FC Schalke 04,2.89,3.25,2.5,2
1672,Werder Bremen,Hertha BSC,2.2,3.39,3.29,1
1673,Hannover 96,VfL Wolfsburg,2.29,3.39,3.1,2
1674,Bayer Leverkusen,1. FSV Mainz 05,1.39,5.0,7.5,0
1675,1. FC Köln,Borussia Dortmund,5.0,3.79,1.7,2
1676,1. FSV Mainz 05,Bayern München,10.0,5.25,1.3,2
1677,Borussia Mönchengladbach,RB Leipzig,2.5,3.39,2.79,2
1678,FC Schalke 04,Werder Bremen,1.75,3.79,4.75,2
1679,VfL Wolfsburg,VfB Stuttgart,2.25,3.29,3.29,1
1680,SC Freiburg,Bayer Leverkusen,4.0,3.79,1.85,1
1681,Hertha BSC,TSG 1899 Hoffenheim,2.62,3.29,2.75,1
1682,FC Augsburg,Eintracht Frankfurt,2.35,3.29,3.1,0
1683,Hamburger SV,Hannover 96,2.25,3.29,3.29,1
1684,RB Leipzig,FC Augsburg,1.7,3.79,5.0,0
1685,Bayern München,FC Schalke 04,1.28,6.0,9.5,0
1686,Borussia Dortmund,Hamburger SV,1.33,5.25,9.0,0
1687,Eintracht Frankfurt,1. FC Köln,1.9,3.5,4.2,0
1688,Hannover 96,SC Freiburg,2.1,3.5,3.5,0
1689,TSG 1899 Hoffenheim,1. FSV Mainz 05,1.61,4.0,5.25,0
1690,Bayer Leverkusen,Hertha BSC,1.53,4.33,6.0,2
1691,Werder Bremen,VfL Wolfsburg,2.14,3.39,3.39,0
1692,VfB Stuttgart,Borussia Mönchengladbach,2.5,3.39,2.79,0
1693,Hertha BSC,1. FSV Mainz 05,2.0,3.39,4.0,2
1694,VfL Wolfsburg,Bayern München,8.5,5.0,1.36,2
1695,1. FC Köln,Hannover 96,2.29,3.39,3.1,1
1696,Hamburger SV,Bayer Leverkusen,3.79,3.5,2.0,2
1697,SC Freiburg,Werder Bremen,2.5,3.29,2.89,0
1698,FC Schalke 04,TSG 1899 Hoffenheim,2.1,3.5,3.5,0
1699,FC Augsburg,VfB Stuttgart,2.04,3.39,3.75,2
1700,Borussia Mönchengladbach,Borussia Dortmund,3.0,3.6,2.29,2
1701,Eintracht Frankfurt,RB Leipzig,2.5,3.39,2.79,0
1702,1. FSV Mainz 05,VfL Wolfsburg,2.14,3.39,3.5,1
1703,Bayern München,Hertha BSC,1.16,7.5,17.0,1
1704,Hannover 96,Borussia Mönchengladbach,2.62,3.39,2.7,2
1705,TSG 1899 Hoffenheim,SC Freiburg,1.66,4.2,4.75,1
1706,VfB Stuttgart,Eintracht Frankfurt,2.37,3.2,3.25,0
1707,Werder Bremen,Hamburger SV,1.83,3.6,4.5,0
1708,Bayer Leverkusen,FC Schalke 04,1.9,3.6,4.0,2
1709,RB Leipzig,1. FC Köln,1.55,4.0,6.5,2
1710,Borussia Dortmund,FC Augsburg,1.44,4.5,7.0,1
1711,Borussia Mönchengladbach,Werder Bremen,1.95,3.5,4.0,1
1712,Eintracht Frankfurt,Hannover 96,1.75,3.6,5.0,0
1713,Hamburger SV,1. FSV Mainz 05,2.25,3.29,3.39,1
1714,RB Leipzig,Borussia Dortmund,2.39,3.5,2.87,1
1715,FC Schalke 04,Hertha BSC,1.66,3.6,6.0,0
1716,VfL Wolfsburg,Bayer Leverkusen,3.29,3.39,2.2,2
1717,FC Augsburg,TSG 1899 Hoffenheim,2.89,3.39,2.45,2
1718,1. FC Köln,VfB Stuttgart,2.45,3.25,3.0,2
1719,SC Freiburg,Bayern München,10.0,5.5,1.3,2
1720,1. FSV Mainz 05,FC Schalke 04,3.6,3.29,2.1,2
1721,Bayern München,Hamburger SV,1.12,9.0,21.0,0
1722,Hannover 96,FC Augsburg,2.14,3.39,3.39,2
1723,Hertha BSC,SC Freiburg,2.1,3.25,3.79,1
1724,TSG 1899 Hoffenheim,VfL Wolfsburg,1.66,4.0,5.0,0
1725,Bayer Leverkusen,Borussia Mönchengladbach,1.7,3.89,5.0,0
1726,Borussia Dortmund,Eintracht Frankfurt,1.75,3.6,5.0,0
1727,VfB Stuttgart,RB Leipzig,2.62,3.39,2.62,1
1728,Werder Bremen,1. FC Köln,1.83,3.75,4.2,0
1729,SC Freiburg,VfB Stuttgart,2.62,3.2,2.79,2
1730,Hamburger SV,Hertha BSC,2.54,3.0,3.0,2
1731,FC Augsburg,Werder Bremen,2.5,3.1,3.1,2
1732,Eintracht Frankfurt,1. FSV Mainz 05,1.61,3.79,6.0,0
1733,Borussia Mönchengladbach,TSG 1899 Hoffenheim,2.75,3.39,2.54,1
1734,VfL Wolfsburg,FC Schalke 04,3.5,3.25,2.2,2
1735,Borussia Dortmund,Hannover 96,1.44,4.75,7.0,0
1736,1. FC Köln,Bayer Leverkusen,5.0,3.75,1.72,0
1737,RB Leipzig,Bayern München,5.0,4.33,1.6,0
1738,Bayern München,Borussia Dortmund,1.36,5.0,8.0,0
1739,Hannover 96,RB Leipzig,3.89,3.6,1.95,2
1740,Hertha BSC,VfL Wolfsburg,2.04,3.29,3.6,1
1741,TSG 1899 Hoffenheim,1. FC Köln,1.53,4.5,5.75,0
1742,Bayer Leverkusen,FC Augsburg,1.44,4.5,6.5,1
1743,FC Schalke 04,SC Freiburg,1.55,3.79,6.5,0
1744,VfB Stuttgart,Hamburger SV,1.72,3.6,4.75,1
1745,1. FSV Mainz 05,Borussia Mönchengladbach,2.45,3.39,2.75,1
1746,Werder Bremen,Eintracht Frankfurt,2.37,3.25,3.0,0
1747,Hannover 96,Werder Bremen,2.89,3.5,2.37,0
1748,Borussia Mönchengladbach,Hertha BSC,1.7,3.5,5.75,0
1749,SC Freiburg,VfL Wolfsburg,2.5,3.1,3.1,2
1750,FC Augsburg,Bayern München,6.5,4.33,1.5,2
1751,Hamburger SV,FC Schalke 04,4.33,3.39,1.9,0
1752,1. FC Köln,1. FSV Mainz 05,2.0,3.5,3.75,1
1753,Borussia Dortmund,VfB Stuttgart,1.61,4.0,5.5,0
1754,Eintracht Frankfurt,TSG 1899 Hoffenheim,2.39,3.39,3.0,1
1755,RB Leipzig,Bayer Leverkusen,2.29,3.5,3.0,2
1756,VfL Wolfsburg,FC Augsburg,2.14,3.29,3.6,1
1757,Bayern München,Borussia Mönchengladbach,1.33,5.75,8.0,0
1758,Hertha BSC,1. FC Köln,1.95,3.6,3.79,0
1759,TSG 1899 Hoffenheim,Hamburger SV,1.5,4.33,6.5,0
1760,Bayer Leverkusen,Eintracht Frankfurt,1.8,3.79,4.33,0
1761,VfB Stuttgart,Hannover 96,1.9,3.6,4.0,1
1762,FC Schalke 04,Borussia Dortmund,2.54,3.39,2.7,0
1763,Werder Bremen,RB Leipzig,2.79,3.5,2.45,1
1764,1. FSV Mainz 05,SC Freiburg,2.29,3.29,3.2,0
1765,Borussia Mönchengladbach,VfL Wolfsburg,1.8,3.79,4.5,0
1766,Hamburger SV,SC Freiburg,2.04,3.39,3.75,0
1767,Borussia Dortmund,Bayer Leverkusen,2.29,3.5,3.0,0
1768,VfB Stuttgart,Werder Bremen,2.39,3.29,3.0,0
1769,Eintracht Frankfurt,Hertha BSC,1.95,3.39,4.2,2
1770,Hannover 96,Bayern München,6.25,4.59,1.44,2
1771,RB Leipzig,TSG 1899 Hoffenheim,2.04,3.75,3.39,2
1772,FC Augsburg,1. FSV Mainz 05,2.2,3.29,3.39,0
1773,1. FC Köln,FC Schalke 04,3.75,3.5,2.0,1
1774,TSG 1899 Hoffenheim,Hannover 96,1.28,6.0,9.5,0
1775,Bayern München,Eintracht Frankfurt,1.6,4.33,5.25,0
1776,SC Freiburg,1. FC Köln,2.1,3.39,3.6,0
1777,Hertha BSC,FC Augsburg,2.04,3.25,3.79,1
1778,Bayer Leverkusen,VfB Stuttgart,1.39,4.75,8.0,2
1779,FC Schalke 04,Borussia Mönchengladbach,1.85,3.6,4.2,1
1780,VfL Wolfsburg,Hamburger SV,2.2,3.39,3.29,2
1781,1. FSV Mainz 05,RB Leipzig,3.75,3.39,2.04,0
1782,Werder Bremen,Borussia Dortmund,3.79,3.75,1.9,1
1783,Werder Bremen,Bayer Leverkusen,3.79,4.0,1.85,1
1784,VfB Stuttgart,TSG 1899 Hoffenheim,3.1,3.75,2.14,0
1785,RB Leipzig,VfL Wolfsburg,1.61,4.0,5.5,0
1786,Hannover 96,Hertha BSC,2.7,3.39,2.62,0
1787,1. FC Köln,Bayern München,11.0,6.5,1.25,2
1788,Borussia Dortmund,1. FSV Mainz 05,1.3,5.5,10.0,2
1789,FC Augsburg,FC Schalke 04,3.6,3.29,2.1,2
1790,Borussia Mönchengladbach,SC Freiburg,1.8,3.6,4.75,0
1791,Eintracht Frankfurt,Hamburger SV,1.95,3.5,4.0,0
1792,Bayern München,VfB Stuttgart,1.16,8.0,15.0,2
1793,SC Freiburg,FC Augsburg,1.95,3.39,4.0,0
1794,Hamburger SV,Borussia Mönchengladbach,2.29,3.5,3.0,0
1795,Hertha BSC,RB Leipzig,4.2,3.75,1.85,2
1796,TSG 1899 Hoffenheim,Borussia Dortmund,2.2,3.79,3.0,0
1797,Bayer Leverkusen,Hannover 96,1.19,7.0,13.0,0
1798,1. FSV Mainz 05,Werder Bremen,2.29,3.6,3.0,2
1799,FC Schalke 04,Eintracht Frankfurt,2.29,3.5,3.0,0
1800,VfL Wolfsburg,1. FC Köln,1.64,4.0,5.25,0
1801,Bayern München,TSG 1899 Hoffenheim,1.2,7.5,12.0,0
1802,Fortuna Düsseldorf,FC Augsburg,2.37,3.25,3.0,2
1803,SC Freiburg,Eintracht Frankfurt,2.3,3.3,3.25,2
1804,Hertha BSC,1. FC Nürnberg,2.04,3.4,3.75,0
1805,Borussia Mönchengladbach,Bayer Leverkusen,2.8,3.5,2.45,0
1806,Werder Bremen,Hannover 96,1.85,3.6,4.0,1
1807,VfL Wolfsburg,FC Schalke 04,3.1,3.3,2.37,0
1808,Borussia Dortmund,RB Leipzig,1.72,3.8,4.75,0
1809,1. FSV Mainz 05,VfB Stuttgart,2.7,3.25,2.7,0
1810,Hannover 96,Borussia Dortmund,5.5,4.33,1.57,1
1811,FC Augsburg,Borussia Mönchengladbach,2.62,3.4,2.7,1
1812,VfB Stuttgart,Bayern München,11.0,5.5,1.28,2
1813,Eintracht Frankfurt,Werder Bremen,2.4,3.5,2.9,2
1814,Bayer Leverkusen,VfL Wolfsburg,1.61,4.33,5.0,2
1815,TSG 1899 Hoffenheim,SC Freiburg,1.55,4.0,6.5,0
1816,1. FC Nürnberg,1. FSV Mainz 05,2.37,3.3,3.1,1
1817,RB Leipzig,Fortuna Düsseldorf,1.4,4.75,8.0,1
1818,FC Schalke 04,Hertha BSC,1.75,3.6,5.0,2
1819,Borussia Dortmund,Eintracht Frankfurt,1.4,5.0,7.5,0
1820,1. FSV Mainz 05,FC Augsburg,2.54,3.25,2.87,0
1821,Borussia Mönchengladbach,FC Schalke 04,2.37,3.4,3.0,0
1822,RB Leipzig,Hannover 96,1.53,4.33,5.5,0
1823,VfL Wolfsburg,Hertha BSC,2.1,3.25,3.75,1
1824,Bayern München,Bayer Leverkusen,1.2,7.0,13.0,0
1825,Fortuna Düsseldorf,TSG 1899 Hoffenheim,4.0,3.6,1.9,0
1826,SC Freiburg,VfB Stuttgart,2.62,3.25,2.75,1
1827,Werder Bremen,1. FC Nürnberg,1.66,4.0,5.0,1
1828,VfB Stuttgart,Fortuna Düsseldorf,1.72,3.6,5.25,1
1829,FC Augsburg,Werder Bremen,2.5,3.25,2.9,2
1830,Hertha BSC,Borussia Mönchengladbach,2.37,3.3,3.1,0
1831,TSG 1899 Hoffenheim,Borussia Dortmund,2.62,3.75,2.4,1
1832,1. FC Nürnberg,Hannover 96,2.5,3.25,2.9,0
1833,FC Schalke 04,Bayern München,8.0,4.5,1.4,2
1834,VfL Wolfsburg,SC Freiburg,1.72,3.6,5.25,2
1835,Bayer Leverkusen,1. FSV Mainz 05,1.57,4.33,5.5,0
1836,Eintracht Frankfurt,RB Leipzig,2.9,3.4,2.35,1
1837,SC Freiburg,FC Schalke 04,3.5,3.2,2.14,0
1838,Bayern München,FC Augsburg,1.1,10.0,23.0,1
1839,Hannover 96,TSG 1899 Hoffenheim,3.5,3.6,2.04,2
1840,Werder Bremen,Hertha BSC,2.0,3.5,3.8,0
1841,Borussia Dortmund,1. FC Nürnberg,1.3,5.5,10.0,0
1842,Fortuna Düsseldorf,Bayer Leverkusen,3.75,3.75,1.95,2
1843,1. FSV Mainz 05,VfL Wolfsburg,2.6,3.25,2.8,1
1844,Borussia Mönchengladbach,Eintracht Frankfurt,1.75,3.8,4.75,0
1845,RB Leipzig,VfB Stuttgart,1.72,3.8,4.75,0
1846,Hertha BSC,Bayern München,10.0,5.75,1.28,0
1847,Bayer Leverkusen,Borussia Dortmund,2.8,3.5,2.4,2
1848,1. FC Nürnberg,Fortuna Düsseldorf,2.14,3.4,3.4,0
1849,FC Schalke 04,1. FSV Mainz 05,1.64,3.75,5.5,0
1850,VfB Stuttgart,Werder Bremen,2.7,3.25,2.7,0
1851,VfL Wolfsburg,Borussia Mönchengladbach,2.3,3.4,3.1,1
1852,TSG 1899 Hoffenheim,RB Leipzig,2.04,3.75,3.4,2
1853,FC Augsburg,SC Freiburg,1.9,3.4,4.33,0
1854,Eintracht Frankfurt,Hannover 96,1.9,3.6,4.0,0
1855,Werder Bremen,VfL Wolfsburg,1.95,3.5,4.0,0
1856,Fortuna Düsseldorf,FC Schalke 04,3.6,3.4,2.1,2
1857,Hannover 96,VfB Stuttgart,2.5,3.3,2.87,0
1858,1. FSV Mainz 05,Hertha BSC,2.7,3.2,2.7,1
1859,Bayern München,Borussia Mönchengladbach,1.2,7.0,13.0,2
1860,Borussia Dortmund,FC Augsburg,1.44,4.75,7.0,0
1861,SC Freiburg,Bayer Leverkusen,3.4,3.4,2.14,1
1862,RB Leipzig,1. FC Nürnberg,1.44,4.75,7.0,0
1863,TSG 1899 Hoffenheim,Eintracht Frankfurt,1.72,3.8,4.75,2
1864,Eintracht Frankfurt,Fortuna Düsseldorf,1.61,3.8,5.75,0
1865,1. FC Nürnberg,TSG 1899 Hoffenheim,3.75,3.8,1.9,2
1866,FC Schalke 04,Werder Bremen,2.04,3.4,3.75,2
1867,VfB Stuttgart,Borussia Dortmund,4.2,3.75,1.83,2
1868,VfL Wolfsburg,Bayern München,8.5,5.0,1.36,2
1869,FC Augsburg,RB Leipzig,3.0,3.5,2.3,1
1870,Bayer Leverkusen,Hannover 96,1.5,4.33,6.5,1
1871,Hertha BSC,SC Freiburg,1.85,3.6,4.33,1
1872,Borussia Mönchengladbach,1. FSV Mainz 05,1.61,4.33,5.0,0
1873,SC Freiburg,Borussia Mönchengladbach,3.5,3.6,2.0,0
1874,Hannover 96,FC Augsburg,2.6,3.3,2.75,2
1875,TSG 1899 Hoffenheim,VfB Stuttgart,1.57,4.33,5.5,0
1876,1. FSV Mainz 05,Bayern München,11.0,6.5,1.25,2
1877,Borussia Dortmund,Hertha BSC,1.4,4.75,8.0,1
1878,Fortuna Düsseldorf,VfL Wolfsburg,3.0,3.4,2.37,2
1879,1. FC Nürnberg,Eintracht Frankfurt,3.3,3.5,2.14,1
1880,RB Leipzig,FC Schalke 04,1.75,3.6,4.75,1
1881,Werder Bremen,Bayer Leverkusen,2.3,3.4,3.1,2
1882,VfB Stuttgart,Eintracht Frankfurt,3.0,3.5,2.3,2
1883,FC Augsburg,1. FC Nürnberg,1.6,3.8,6.0,1
1884,Bayern München,SC Freiburg,1.11,10.0,21.0,1
1885,VfL Wolfsburg,Borussia Dortmund,3.8,3.8,1.9,2
1886,Hertha BSC,RB Leipzig,3.2,3.4,2.25,2
1887,FC Schalke 04,Hannover 96,1.61,3.8,6.0,0
1888,Bayer Leverkusen,TSG 1899 Hoffenheim,2.1,4.0,3.1,2
1889,1. FSV Mainz 05,Werder Bremen,3.0,3.4,2.37,0
1890,Borussia Mönchengladbach,Fortuna Düsseldorf,1.36,4.75,8.0,0
1891,Hannover 96,VfL Wolfsburg,2.9,3.3,2.37,0
1892,Werder Bremen,Borussia Mönchengladbach,2.4,3.5,2.75,2
1893,1. FC Nürnberg,VfB Stuttgart,2.4,3.25,3.1,2
1894,SC Freiburg,1. FSV Mainz 05,2.0,3.4,3.75,2
1895,Fortuna Düsseldorf,Hertha BSC,3.6,3.4,2.1,0
1896,Borussia Dortmund,Bayern München,3.1,3.8,2.1,0
1897,TSG 1899 Hoffenheim,FC Augsburg,1.61,4.33,5.0,0
1898,RB Leipzig,Bayer Leverkusen,1.8,4.0,4.0,0
1899,Eintracht Frankfurt,FC Schalke 04,2.2,3.3,3.4,0
